product_id,product_title
B002ORRXOI,Toy Story Rolling Luggage Pilot Case
B002VI4Z7S,Saddleback Leather Satchel Medium
B002VK3POU,"Hoppa 23'" Lightweight Wheeled Shopping Trolley Hard Wearing & Light Weight Polyester Rolling Push Trolley 47L 3 Year Guarantee"
B002Y0S01A,Fossil Wagner City Bag
B002ZVIK9K,Roxy la liga backpack - Black
B0030GCE7I,Lug Life Round-trip Shuttle Bus Weekender Bag - Rose
B0038M2T38,Tumi T-Tech Presidio Washington Wheeled Extended Trip
B0039MWQBW,"Victorinox  Zip-Around Wallet Black One Size"
B003DZ8I1W,CalPak Recess Backpack
B003EII4YO,Floto Luggage Piana Tote In Canvas and Leather
B003GCUO32,Samsonite Black Label Cosmolite Spinner 74/27
B003J8D0HA,Vera Bradley Large Duffel Bag in Simply Violet
B003S8AGUK,Piel Leather Flap-Over Button Backpack
